% class: {"招聘": 0, "生活服务": 1, "物业地产": 2, "汽车交通": 3, "社交": 4, "能源": 5, "硬件": 6, "安全": 7, "美业": 8, "旅游": 9, "法律": 10, "金融": 11, "婚恋": 12, "家装家居": 13, "农业": 14, "媒体娱乐": 15, "游戏": 16, "生物制药": 17, "云服务": 18, "教育培训": 19, "电子商务": 20, "医疗健康": 21, "市场营销": 22, "体育运动": 23}
@RELATION field 

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@DATA
1.3459,-0.24213,0.14769,-0.06651,-10.0,0.46599,0.27288,-10.0,0.04703,-1.14946,10.0,1.06838,0.23501,-0.12163,0.03034,0.15035,10.0,0.07437,0.08682,-10.0,-0.15956,-0.21564,10.0,0.3265,-0.20306,-10.0,-0.1769,0.11226,10.0,0.21494,5
0.97262,-0.15471,0.13433,-0.0852,-10.0,0.34346,0.34697,-10.0,-0.09038,-0.94427,10.0,0.99629,0.26317,-0.26519,0.26614,0.28031,-10.0,0.15423,0.15196,10.0,0.10999,0.06676,10.0,0.11547,-0.16387,10.0,-0.22718,0.18303,-0.11992,0.04512,5
1.14846,10.0,-0.0673,-0.24521,10.0,0.26346,0.24331,-10.0,-0.09946,-0.92888,10.0,0.59784,0.22793,10.0,0.21211,0.03024,-10.0,-0.55928,-0.03218,10.0,0.1275,0.10475,10.0,0.50706,-0.07824,10.0,0.21287,0.10944,-10.0,-0.06297,5
1.35671,-0.20431,0.35923,0.08753,-10.0,0.78169,0.35376,-10.0,0.24249,-0.44886,-10.0,0.73338,0.29906,10.0,-0.25459,0.2176,-10.0,0.36045,-0.02409,10.0,-0.06957,-0.50046,-10.0,0.09145,0.23485,-0.0163,-0.07991,-0.1438,0.19756,-0.11865,5
2.57181,10.0,-0.32696,-0.16255,10.0,-0.02366,-0.37466,-10.0,-0.41324,-1.27745,-10.0,0.32809,0.29701,-10.0,1.00825,-0.25807,10.0,-1.39478,0.42869,-10.0,-0.10093,0.19902,10.0,0.95553,-0.04838,10.0,0.20224,0.29015,10.0,0.1141,5
1.67978,10.0,-0.22611,0.05452,10.0,-0.01119,-0.12838,-10.0,0.08396,-0.46518,10.0,0.05432,-0.21006,10.0,-0.39453,-0.55568,10.0,-0.31021,0.35377,10.0,-0.6547,0.06447,-10.0,0.04992,0.3355,-10.0,-0.02267,-0.00317,10.0,0.39567,5
1.53048,10.0,0.04521,-0.29437,10.0,0.04886,-0.36868,10.0,-0.38065,-0.93634,-10.0,0.28831,0.16542,0.0,0.31589,-0.16075,-10.0,-0.56034,0.15226,10.0,0.17303,0.01147,10.0,0.1653,-0.0461,-10.0,0.1743,0.07509,-10.0,0.12481,5
2.59032,-10.0,-0.65972,0.16408,10.0,-0.33577,-0.4466,10.0,-0.41933,-0.57706,-10.0,-0.48189,0.51822,10.0,1.0084,0.51923,10.0,-1.21547,0.27191,10.0,0.24062,-0.32102,10.0,0.3314,-0.15458,10.0,0.02952,0.17433,-10.0,0.05336,5
0.37904,-0.06719,-0.02828,0.01879,0.00932,-0.03432,-0.13992,-10.0,0.01391,-0.20119,-10.0,0.08922,0.02845,10.0,-0.10955,-0.08365,-0.17963,-0.15826,0.07756,0.08302,0.02529,-0.04654,0.00928,0.02659,-0.06607,-0.077,0.02741,0.04335,10.0,-0.01391,5
1.83214,10.0,0.87436,-0.27553,10.0,1.08692,1.96068,1.06699,0.33456,-1.15244,10.0,2.3749,0.96744,10.0,-0.0447,0.28784,-10.0,1.0667,-0.42482,-10.0,0.00665,0.34347,10.0,0.35885,0.46658,10.0,-0.29154,0.29131,10.0,0.18726,5
